timestamp,server_id,cpu_usage,mem_usage,network_traffic,cpu_temp,failure
2026-05-20 00:00:00,SRV-01,22.24,60.5,33.1,45.45,0
2026-05-20 00:01:00,SRV-01,23.61,59.89,32.64,47.02,0
2026-05-20 00:02:00,SRV-01,22.41,59.71,16.46,47.65,0
2026-05-20 00:03:00,SRV-01,20.03,54.81,17.18,48.84,0
2026-05-20 00:04:00,SRV-01,17.73,54.54,15.82,49.0,0
2026-05-20 00:05:00,SRV-01,12.41,52.87,18.27,49.43,0
2026-05-20 00:06:00,SRV-01,58.52,52.39,49.14,52.36,0
2026-05-20 00:07:00,SRV-01,56.34,52.21,42.5,54.98,0
2026-05-20 00:08:00,SRV-01,51.59,50.01,31.48,57.35,0
2026-05-20 00:09:00,SRV-01,48.77,47.61,40.28,60.07,0
2026-05-20 00:10:00,SRV-01,41.22,47.53,77.13,61.71,0
2026-05-20 00:11:00,SRV-01,41.43,45.64,29.61,62.38,0
2026-05-20 00:12:00,SRV-01,37.59,46.94,27.5,62.98,0
2026-05-20 00:13:00,SRV-01,72.15,47.47,62.87,66.89,0
2026-05-20 00:14:00,SRV-01,62.56,46.63,67.36,68.77,0
2026-05-20 00:15:00,SRV-01,60.22,46.03,42.03,70.94,0
2026-05-20 00:16:00,SRV-01,57.38,47.77,67.16,72.5,0
2026-05-20 00:17:00,SRV-01,52.29,48.84,43.73,74.55,0
2026-05-20 00:18:00,SRV-01,48.09,50.74,39.95,75.62,0
2026-05-20 00:19:00,SRV-01,44.44,48.08,37.32,77.11,0
2026-05-20 00:20:00,SRV-01,40.87,48.21,32.45,77.37,0
2026-05-20 00:21:00,SRV-01,40.72,79.52,27.07,77.78,0
2026-05-20 00:22:00,SRV-01,41.11,78.03,49.08,79.11,0
2026-05-20 00:23:00,SRV-01,39.22,75.67,25.28,79.88,0
2026-05-20 00:24:00,SRV-01,35.91,71.69,47.1,78.74,0
2026-05-20 00:25:00,SRV-01,35.31,69.51,27.36,78.79,0
2026-05-20 00:26:00,SRV-01,33.28,68.64,30.94,78.37,0
2026-05-20 00:27:00,SRV-01,36.25,67.18,27.12,77.81,0
2026-05-20 00:28:00,SRV-01,34.74,69.52,21.64,78.26,0
2026-05-20 00:29:00,SRV-01,32.5,67.18,29.59,78.08,0
2026-05-20 00:30:00,SRV-01,34.81,66.95,24.95,77.87,0
2026-05-20 00:31:00,SRV-01,37.49,67.71,34.0,78.96,0
2026-05-20 00:32:00,SRV-01,81.9,65.47,49.77,83.14,0
2026-05-20 00:33:00,SRV-01,75.99,64.21,49.45,85.68,0
2026-05-20 00:34:00,SRV-01,65.15,63.71,56.7,87.85,0
2026-05-20 00:35:00,SRV-01,58.65,61.95,36.99,88.73,0
2026-05-20 00:36:00,SRV-01,56.04,59.0,59.12,90.51,0
2026-05-20 00:37:00,SRV-01,59.0,57.57,69.53,91.61,0
2026-05-20 00:38:00,SRV-01,54.68,57.86,39.02,93.12,0
2026-05-20 00:39:00,SRV-01,47.63,57.89,29.89,94.04,1
2026-05-20 00:40:00,SRV-01,45.11,99.0,27.14,94.22,0
2026-05-20 00:41:00,SRV-01,38.45,97.62,26.88,94.51,0
2026-05-20 00:42:00,SRV-01,33.5,95.92,26.01,94.19,1
2026-05-20 00:43:00,SRV-01,36.03,93.76,34.22,94.13,1
